RMS_s,Mean_s,STD_s, MAX_s, Kurtosis_s, Skewness_s, Var_s,Entropy_s,RMS_v,Mean_v,STD_v, MAX_v, Kurtosis_v, Skewness_v, Var_v,Entropy_v,target
0.82944039,0.613753123,0.557928929,8.774067137,97.21962888,6.862256768,0.68797136,-34994.81455,0.512622695,0.399577885,0.321125526,1.29590637,2.630797666,0.79547777,0.262782027,7557.319355,2
0.810604363,0.652995636,0.480292354,4.157685994,8.704282145,1.467617216,0.657079433,-10537.22201,0.443962991,0.348628607,0.274886782,1.206256116,2.809519072,0.856138065,0.197103137,8557.060014,2
0.883742282,0.687736068,0.555000615,7.294099573,43.55457073,3.90274284,0.781000422,-29644.64261,0.425271012,0.334907648,0.262094781,1.134623292,2.833402388,0.878698095,0.180855433,8644.037396,2
0.865043387,0.695994659,0.513708842,6.032569514,26.13447054,2.702898018,0.748300062,-19704.17662,0.416617896,0.327841354,0.257083332,1.099625898,2.888920915,0.891423924,0.173570471,8626.720452,2
0.93495702,0.773911767,0.52460529,2.496409016,2.780600633,0.663324627,0.87414463,-20599.53144,0.423655742,0.334118475,0.260481072,1.191957854,2.945950987,0.899266704,0.179484188,8658.295394,2
0.904948128,0.74451188,0.514430236,4.03620199,5.810220522,0.974657138,0.818931115,-17820.34002,0.445667189,0.343745396,0.28365464,1.339233047,3.327185278,1.039275815,0.198619243,7872.034814,2
0.743603968,0.586850121,0.456681473,2.877865937,4.428964966,1.052029895,0.552946861,-4534.070974,0.475949516,0.370368499,0.298926252,1.251293554,2.895041259,0.878585836,0.226527942,8008.239342,2
0.910137445,0.654661675,0.632278622,9.829520969,94.59846926,6.847039071,0.828350169,-54641.73125,0.486357591,0.375767447,0.308778947,1.288704284,3.005152504,0.95225849,0.236543706,7516.931536,2
0.72047758,0.579504381,0.428096112,2.155653946,3.155797175,0.840765083,0.519087943,-1003.185583,0.291944486,0.231595689,0.177751657,0.930781502,4.133732751,1.125982499,0.085231583,7239.98581,2
0.81198559,0.635846876,0.504999454,4.98216175,13.56127321,1.887303099,0.659320598,-14128.80292,0.328542436,0.264028608,0.1955244,1.022791417,4.011374419,1.077119615,0.107940132,8100.47764,2
0.802434791,0.647445073,0.474047429,2.093507972,3.100870128,0.842335324,0.643901593,-7971.665486,0.331262252,0.266129901,0.197257024,1.034015665,3.898395736,1.058164457,0.10973468,8151.103125,2
0.789212735,0.625738243,0.480950121,3.808442866,6.225130807,1.206108086,0.622856741,-8912.936795,0.346261412,0.279925072,0.203813027,1.004849263,3.76918795,1.013210229,0.119896965,8499.754288,2
0.777397757,0.610246951,0.481612468,2.279812832,3.259304895,0.946708828,0.604347272,-7895.586428,0.352654444,0.287175108,0.204686227,1.001541982,3.575738308,0.952604279,0.124365157,8744.014139,2
0.814048516,0.656939725,0.480738812,2.432917649,3.127603656,0.79354652,0.662674986,-8851.595416,0.352326544,0.287642663,0.203461348,1.003051745,3.605976855,0.966719344,0.124133994,8764.745325,2
0.765636128,0.608375954,0.464845889,2.291337667,3.216694456,0.878342897,0.58619868,-5632.146526,0.346149775,0.282191461,0.200470572,0.960386161,3.521778175,0.920713709,0.119819667,8694.442058,2
0.655441028,0.509677606,0.412110514,2.206377171,3.697328351,1.061538357,0.429602941,889.6842788,0.334375918,0.273472701,0.19240758,0.936906715,3.595751503,0.923750689,0.111807255,8548.199669,2
0.533838215,0.408574197,0.343588018,4.39526383,39.53796971,3.74194444,0.28498324,2784.657816,0.328508399,0.270032137,0.187085844,0.925936394,3.593204877,0.962081087,0.107917768,8469.299636,2
0.648587455,0.515076375,0.394163827,2.196136256,3.869732974,1.10950705,0.420665687,2159.45699,0.319216725,0.261888862,0.182521801,0.894081847,3.617155272,0.927095623,0.101899317,8298.159755,2
0.628234287,0.46454231,0.422944842,5.457306914,43.33196077,4.152923265,0.394678319,-5505.815009,0.31552336,0.258520043,0.180895086,0.955024569,3.749991152,0.96706568,0.09955499,8183.836703,2
0.558101895,0.444541755,0.337435372,1.984812433,4.415434116,1.06363586,0.311477725,6659.424195,0.305257894,0.248280501,0.177594497,0.891486021,3.961003924,1.01373204,0.093182382,7866.064433,2
0.657670576,0.470488106,0.45953863,6.754311645,74.66172058,5.777965557,0.432530587,-12851.27665,0.309236925,0.253201302,0.177530862,0.879292748,3.844048831,0.982193621,0.095627476,8042.978948,2
0.527788861,0.419295592,0.320553183,2.849952112,12.07021988,1.919214409,0.278561082,6370.689606,0.300330167,0.245473966,0.173035661,0.930559551,4.111394221,1.054243806,0.090198209,7792.383933,2
0.716013148,0.581145511,0.418268121,4.765415984,23.18069308,2.545327962,0.512674828,-2972.593995,0.293440373,0.239786802,0.169145246,0.86057071,4.025797762,1.027985733,0.086107252,7650.23595,2
0.596897724,0.436934987,0.406666961,5.368205976,47.36618178,4.386355663,0.356286893,-4112.141712,0.284682416,0.233135669,0.163378003,0.894417291,4.298083437,1.087482605,0.081044078,7442.0369,2
0.62426143,0.494369417,0.381187773,2.836554587,5.320138192,1.064436844,0.389702333,3876.529324,0.271189259,0.221405076,0.156601076,0.836587044,4.326551503,1.074975845,0.073543614,7093.445453,2
0.96442767,0.75471118,0.600448979,6.792574694,23.70369672,2.728076886,0.930120731,-39290.72723,0.505277459,0.396223293,0.313551237,1.349062916,2.718379038,0.794993867,0.25530531,7893.635862,2
0.93934022,0.701665699,0.624526298,9.342659036,78.19850732,5.879368177,0.88236005,-51150.27569,0.516726534,0.399845151,0.327310722,1.430118238,2.899268421,0.884280947,0.267006311,7081.525418,2
0.954775054,0.686026765,0.66405685,10.76356709,112.2970255,7.600244841,0.911595404,-66640.11264,0.499396591,0.39287178,0.308302806,1.384930991,2.924919195,0.848858244,0.249396955,7993.108877,2
0.778227348,0.640915392,0.441439875,2.223983465,2.737301511,0.591439655,0.605637805,-3155.104271,0.50292209,0.394566767,0.311848745,1.389099119,3.01940027,0.886982059,0.252930628,7773.522612,2
